instance_name,target_ip
0.00000010_500_3000_1_tanh,10.101.165.142
0.00000010_500_3000_5_tanh,10.101.165.145
0.00000010_500_3000_10_tanh,10.101.165.149
0.00000010_500_3000_50_tanh,10.101.165.155
0.00000010_500_3000_100_tanh,10.101.165.156
0.00000010_500_7000_1_tanh,10.101.165.157
0.00000010_500_7000_5_tanh,10.101.165.159
0.00000010_500_7000_10_tanh,10.101.165.160
0.00000010_500_7000_50_tanh,10.101.165.164
0.00000010_500_7000_100_tanh,10.101.165.178
0.00000010_500_9000_1_tanh,10.101.165.179
0.00000010_500_9000_5_tanh,10.101.165.183
0.00000010_500_9000_10_tanh,10.101.165.199
0.00000010_500_9000_50_tanh,10.101.166.109
0.00000010_500_9000_100_tanh,10.101.166.118
0.00000010_500_11000_1_tanh,10.101.166.122
0.00000010_500_11000_5_tanh,10.101.166.125
0.00000010_500_11000_10_tanh,10.101.166.72
0.00000010_500_11000_50_tanh,10.101.166.84
0.00000010_500_11000_100_tanh,10.101.166.94
0.00000010_1000_3000_1_tanh,10.101.165.142
0.00000010_1000_3000_5_tanh,10.101.165.145
0.00000010_1000_3000_10_tanh,10.101.165.149
0.00000010_1000_3000_50_tanh,10.101.165.155
0.00000010_1000_3000_100_tanh,10.101.165.156
0.00000010_1000_7000_1_tanh,10.101.165.157
0.00000010_1000_7000_5_tanh,10.101.165.159
0.00000010_1000_7000_10_tanh,10.101.165.160
0.00000010_1000_7000_50_tanh,10.101.165.164
0.00000010_1000_7000_100_tanh,10.101.165.178
0.00000010_1000_9000_1_tanh,10.101.165.179
0.00000010_1000_9000_5_tanh,10.101.165.183
0.00000010_1000_9000_10_tanh,10.101.165.199
0.00000010_1000_9000_50_tanh,10.101.166.109
0.00000010_1000_9000_100_tanh,10.101.166.118
0.00000010_1000_11000_1_tanh,10.101.166.122
0.00000010_1000_11000_5_tanh,10.101.166.125
0.00000010_1000_11000_10_tanh,10.101.166.72
0.00000010_1000_11000_50_tanh,10.101.166.84
0.00000010_1000_11000_100_tanh,10.101.166.94
0.00000010_1500_3000_1_tanh,10.101.165.142
0.00000010_1500_3000_5_tanh,10.101.165.145
0.00000010_1500_3000_10_tanh,10.101.165.149
0.00000010_1500_3000_50_tanh,10.101.165.155
0.00000010_1500_3000_100_tanh,10.101.165.156
0.00000010_1500_7000_1_tanh,10.101.165.157
0.00000010_1500_7000_5_tanh,10.101.165.159
0.00000010_1500_7000_10_tanh,10.101.165.160
0.00000010_1500_7000_50_tanh,10.101.165.164
0.00000010_1500_7000_100_tanh,10.101.165.178
0.00000010_1500_9000_1_tanh,10.101.165.179
0.00000010_1500_9000_5_tanh,10.101.165.183
0.00000010_1500_9000_10_tanh,10.101.165.199
0.00000010_1500_9000_50_tanh,10.101.166.109
0.00000010_1500_9000_100_tanh,10.101.166.118
0.00000010_1500_11000_1_tanh,10.101.166.122
0.00000010_1500_11000_5_tanh,10.101.166.125
0.00000010_1500_11000_10_tanh,10.101.166.72
0.00000010_1500_11000_50_tanh,10.101.166.84
0.00000010_1500_11000_100_tanh,10.101.166.94
0.00000001_500_3000_1_tanh,10.101.165.142
0.00000001_500_3000_5_tanh,10.101.165.145
0.00000001_500_3000_10_tanh,10.101.165.149
0.00000001_500_3000_50_tanh,10.101.165.155
0.00000001_500_3000_100_tanh,10.101.165.156
0.00000001_500_7000_1_tanh,10.101.165.157
0.00000001_500_7000_5_tanh,10.101.165.159
0.00000001_500_7000_10_tanh,10.101.165.160
0.00000001_500_7000_50_tanh,10.101.165.164
0.00000001_500_7000_100_tanh,10.101.165.178
0.00000001_500_9000_1_tanh,10.101.165.179
0.00000001_500_9000_5_tanh,10.101.165.183
0.00000001_500_9000_10_tanh,10.101.165.199
0.00000001_500_9000_50_tanh,10.101.166.109
0.00000001_500_9000_100_tanh,10.101.166.118
0.00000001_500_11000_1_tanh,10.101.166.122
0.00000001_500_11000_5_tanh,10.101.166.125
0.00000001_500_11000_10_tanh,10.101.166.72
0.00000001_500_11000_50_tanh,10.101.166.84
0.00000001_500_11000_100_tanh,10.101.166.94
0.00000001_1000_3000_1_tanh,10.101.165.142
0.00000001_1000_3000_5_tanh,10.101.165.145
0.00000001_1000_3000_10_tanh,10.101.165.149
0.00000001_1000_3000_50_tanh,10.101.165.155
0.00000001_1000_3000_100_tanh,10.101.165.156
0.00000001_1000_7000_1_tanh,10.101.165.157
0.00000001_1000_7000_5_tanh,10.101.165.159
0.00000001_1000_7000_10_tanh,10.101.165.160
0.00000001_1000_7000_50_tanh,10.101.165.164
0.00000001_1000_7000_100_tanh,10.101.165.178
0.00000001_1000_9000_1_tanh,10.101.165.179
0.00000001_1000_9000_5_tanh,10.101.165.183
0.00000001_1000_9000_10_tanh,10.101.165.199
0.00000001_1000_9000_50_tanh,10.101.166.109
0.00000001_1000_9000_100_tanh,10.101.166.118
0.00000001_1000_11000_1_tanh,10.101.166.122
0.00000001_1000_11000_5_tanh,10.101.166.125
0.00000001_1000_11000_10_tanh,10.101.166.72
0.00000001_1000_11000_50_tanh,10.101.166.84
0.00000001_1000_11000_100_tanh,10.101.166.94
0.00000001_1500_3000_1_tanh,10.101.165.142
0.00000001_1500_3000_5_tanh,10.101.165.145
0.00000001_1500_3000_10_tanh,10.101.165.149
0.00000001_1500_3000_50_tanh,10.101.165.155
0.00000001_1500_3000_100_tanh,10.101.165.156
0.00000001_1500_7000_1_tanh,10.101.165.157
0.00000001_1500_7000_5_tanh,10.101.165.159
0.00000001_1500_7000_10_tanh,10.101.165.160
0.00000001_1500_7000_50_tanh,10.101.165.164
0.00000001_1500_7000_100_tanh,10.101.165.178
0.00000001_1500_9000_1_tanh,10.101.165.179
0.00000001_1500_9000_5_tanh,10.101.165.183
0.00000001_1500_9000_10_tanh,10.101.165.199
0.00000001_1500_9000_50_tanh,10.101.166.109
0.00000001_1500_9000_100_tanh,10.101.166.118
0.00000001_1500_11000_1_tanh,10.101.166.122
0.00000001_1500_11000_5_tanh,10.101.166.125
0.00000001_1500_11000_10_tanh,10.101.166.72
0.00000001_1500_11000_50_tanh,10.101.166.84
0.00000001_1500_11000_100_tanh,10.101.166.94
